Fid,Temp,Wind,Date_Time,Age_band_of_driver,Sex_of_driver,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Area_accident_occured,Types_of_Junction,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Cause_of_accident,Accident_severity,Ambulace_Allocated,Ambulace_Pickedup,LATITUDE,LONGITUDE,Label
10.42.0.211-64.71.142.120-55484-443-6,27,6.5,03-11-22 14:43,60,Male,Employee,2-5yr,Automobile,Other,Other,Vehicle with vehicle collision,2,2,Other,No distancing,Slight Injury,Yes,Yes,47.24566979,-122.4642788,0
172.217.10.74-10.42.0.211-443-56974-6,27,5.7,03-11-22 14:44,40,Male,Employee,Above 10yr,Automobile,Office areas,No junction,Vehicle with vehicle collision,2,1,Going straight,No priority to vehicle,Serious Injury,No,No,47.52197477,-122.3878541,1
202.77.129.230-10.42.0.42-80-36741-6,25,5.1,03-11-22 14:51,50,Male,Employee,Above 10yr,Car,Other,No junction,Vehicle with vehicle collision,2,1,Going straight,Changing lane to the right,Serious Injury,Yes,Yes,39.99245742,-80.73075469,0
172.217.12.170-10.42.0.211-443-56212-6,27,1.3,03-11-22 15:02,35,Male,Employee,Below 1yr,Other,  Recreational areas,No junction,Vehicle with vehicle collision,1,1,Going straight,No distancing,Serious Injury,No,No,38.98565,-81.448831,1
10.42.0.151-119.146.74.49-39868-443-6,25,1.9,03-11-22 15:06,40,Male,Owner,Above 10yr,Automobile,Other,Crossing,Collision with roadside objects,2,1,Going straight,No distancing,Slight Injury,No,No,38.3837,-81.824781,1
205.204.101.182-10.42.0.211-443-34545-6,25,1.6,03-11-22 15:12,25,Male,Other,Above 10yr,Public (13?45 seats), Church areas,Crossing,Vehicle with vehicle collision,2,1,Going straight,Getting off the vehicle improperly,Slight Injury,Yes,Yes,39.03806,-80.465331,0
172.217.12.202-10.42.0.211-443-44680-6,25,1.4,03-11-22 15:13,40,Male,Employee,5-10yr,Public (13?45 seats),Residential areas,Y Shape,Vehicle with vehicle collision,2,1,Going straight,No priority to pedestrian,Slight Injury,No,No,39.28418022,-80.33767162,1
220.181.7.190-10.42.0.42-443-40329-6,27,1.3,03-11-22 15:14,55,Male,Owner,1-3yr,Automobile,Office areas,Y Shape,Collision with roadside objects,2,1,Moving Backward,Changing lane to the left,Slight Injury,Yes,Yes,38.12842746,-81.25033779,0
10.42.0.151-31.13.69.195-54239-443-6,25,4.6,03-11-22 15:19,50,Male,Employee,5-10yr,Public (12 seats),Other,O Shape,Vehicle with vehicle collision,2,1,Going straight,No distancing,Serious Injury,Yes,Yes,43.0903081,-87.95176608,0
205.185.216.10-10.42.0.211-80-33001-6,29,3.9,03-11-22 15:23,40,Male,Employee,5-10yr,Public (12 seats),Office areas,O Shape,Collision with roadside objects,2,1,Going straight,Driving carelessly,Serious Injury,No,No,42.76308964,-87.80267238,1
172.217.6.234-10.42.0.211-443-48636-6,25,3.4,03-11-22 15:31,60,Male,Owner,Below 1yr,Lorry (41?100Q),Office areas,Y Shape,Vehicle with vehicle collision,2,1,Going straight,No distancing,Serious Injury,No,No,44.00980289,-90.54087276,1
172.217.6.238-10.42.0.151-443-60516-6,25,4.6,03-11-22 15:32,45,Male,Employee,5-10yr,Automobile,Other,Y Shape,Vehicle with vehicle collision,2,1,Going straight,Changing lane to the right,Serious Injury,Yes,Yes,43.05843201,-87.88978311,0
172.217.10.109-10.42.0.151-443-48971-6,29.5,5.5,03-11-22 15:39,55,Male,Employee,2-5yr,Pick up upto 10Q,Residential areas,Crossing,Vehicle with vehicle collision,2,1,Going straight,Overtaking,Slight Injury,No,No,43.319577,-87.946242,1
10.42.0.211-35.190.146.39-43580-443-6,29,1.6,03-11-22 15:44,60,Male,Owner,2-5yr,Pick up upto 10Q,  Recreational areas,Crossing,Vehicle with vehicle collision,2,1,Going straight,Driving carelessly,Slight Injury,Yes,Yes,43.08904,-88.018731,0
172.217.10.138-10.42.0.211-443-49593-6,25,2,03-11-22 15:47,50,Female,Employee,2-5yr,Lorry (41?100Q), Church areas,Y Shape,Vehicle with vehicle collision,1,1,Going straight,Moving Backward,Slight Injury,No,No,44.17188447,-88.26088075,1
172.217.11.46-10.42.0.211-443-44493-6,25,5.3,03-11-22 15:50,50,Male,Owner,2-5yr,Automobile,Other,Other,Vehicle with vehicle collision,1,1,Going straight,No distancing,Serious Injury,Yes,Yes,44.65977,-91.723491,0
10.42.0.211-36.51.254.232-56571-443-6,25,5.7,03-11-22 15:54,50,Male,Employee,Above 10yr,Stationwagen,Other,No junction,Vehicle with vehicle collision,1,1,Going straight,Overtaking,Slight Injury,No,No,45.17642144,-91.01067456,1
10.42.0.42-23.208.218.4-60795-443-6,25.1,2.7,03-11-22 15:59,60,Male,Employee,2-5yr,Motorcycle,Other,Y Shape,Vehicle with vehicle collision,2,2,Going straight,Driving carelessly,Slight Injury,Yes,Yes,44.911545,-90.678945,0
216.58.219.225-10.42.0.42-443-58078-6,25,2.6,03-11-22 16:11,40,Male,Employee,1-2yr,Car,Residential areas,Y Shape,Collision with pedestrians,2,2,Going straight,Driving carelessly,Slight Injury,Yes,Yes,43.534862,-90.164618,0
172.217.6.227-10.42.0.211-443-43543-6,25,3,03-11-22 16:15,50,Male,Employee,2-5yr,Other,School areas,Y Shape,Collision with roadside objects,2,2,Going straight,Moving Backward,Slight Injury,Yes,Yes,42.69646277,-89.37093824,0
10.42.0.151-23.192.76.180-52375-443-6,27,2.1,03-11-22 16:37,40,Male,Employee,1-2yr,Automobile, Church areas,No junction,Vehicle with vehicle collision,2,3,Other,Driving carelessly,Slight Injury,Yes,Yes,43.02610974,-89.27737669,0
180.76.151.225-10.42.0.42-80-51660-6,30,1.5,03-11-22 16:40,45,Male,Employee,5-10yr,Automobile,Other,No junction,Vehicle with vehicle collision,2,3,Going straight,Driving to the left,Slight Injury,Yes,Yes,43.52172585,-89.69250603,0
10.42.0.211-64.71.142.96-35130-443-6,25,2.5,03-11-22 16:54,45,Male,Employee,5-10yr,Car,Other,No junction,Collision with roadside objects,2,3,Going straight,Changing lane to the left,Slight Injury,No,No,44.71217108,-90.55308659,1
220.181.7.190-10.42.0.211-443-39911-6,25,5.1,03-11-22 16:55,35,Male,Owner,2-5yr,Public (> 45 seats),Office areas,Crossing,Vehicle with vehicle collision,2,1,Going straight,No distancing,Slight Injury,No,No,44.74116093,-90.56135591,1
172.217.11.10-10.42.0.211-443-54138-6,25,3.8,03-11-22 17:03,45,Male,Employee,Below 1yr,Automobile,Office areas,Crossing,Vehicle with vehicle collision,2,1,Going straight,No distancing,Slight Injury,Yes,Yes,43.07416,-88.065611,0
157.240.2.35-10.42.0.42-443-38497-6,28,4.9,03-11-22 17:04,75,Male,Owner,1-3yr,Other,Other,No junction,Collision with pedestrians,2,1,Going straight,Changing lane to the right,Slight Injury,Yes,Yes,44.78835,-90.553371,0
151.101.1.140-10.42.0.211-443-38153-6,27,2.8,03-11-22 17:13,70,Male,Employee,Above 10yr,Automobile, Hospital areas,No junction,Vehicle with vehicle collision,2,1,Going straight,Driving under the influence of drugs,Slight Injury,Yes,Yes,44.7857952,-88.46974828,0
220.243.235.201-10.42.0.211-5285-50217-6,25,2.7,03-11-22 17:17,50,Male,Employee,1-2yr,Other,Other,Crossing,Collision with pedestrians,2,3,Going straight,Changing lane to the right,Slight Injury,No,No,42.646644,-89.387045,1
172.217.12.142-10.42.0.151-443-37601-6,28,3,03-11-22 17:22,40,Male,Owner,5-10yr,Lorry (41?100Q),Other,Crossing,Vehicle with vehicle collision,2,3,Other,Changing lane to the left,Slight Injury,No,No,42.67881605,-87.85507361,1
10.42.0.211-54.192.38.65-58666-443-6,28,1,03-11-22 17:25,35,Male,Employee,1-2yr,Pick up upto 10Q,Other,Crossing,Vehicle with vehicle collision,2,3,Going straight,Moving Backward,Slight Injury,No,No,43.908675,-89.776337,1
10.42.0.151-10.42.0.1-42043-53-17,28,3.6,03-11-22 17:28,40,Male,Employee,Above 10yr,Public (13?45 seats),Other,Crossing,Collision with roadside objects,2,3,Going straight,No distancing,Slight Injury,No,No,42.50110711,-89.02603331,1
172.217.12.196-10.42.0.211-443-59832-6,30,3.8,03-11-22 17:29,55,Male,Employee,Below 1yr,Automobile,Other,No junction,Vehicle with vehicle collision,3,1,Going straight,Changing lane to the right,Slight Injury,No,No,44.75578,-90.46055,1
10.42.0.211-104.244.42.66-38102-443-6,25,4,03-11-22 17:38,30,Male,Employee,2-5yr,Pick up upto 10Q, Hospital areas,No junction,Vehicle with vehicle collision,3,1,Going straight,Moving Backward,Slight Injury,Yes,Yes,43.08870766,-88.02399344,0
10.42.0.211-10.42.0.1-55841-53-17,25,3.5,03-11-22 18:05,25,Male,Employee,5-10yr,Automobile,Other,No junction,Vehicle with vehicle collision,3,1,Going straight,No distancing,Slight Injury,No,No,43.89496,-90.917361,1
172.217.6.202-10.42.0.151-443-37164-6,27,3.4,03-11-22 18:06,30,Male,Employee,5-10yr,Lorry (41?100Q),Other,Crossing,Collision with pedestrians,1,1,Going straight,Driving to the left,Serious Injury,Yes,Yes,43.09103248,-88.03109155,0
180.163.15.184-10.42.0.151-80-33233-6,25,3.4,03-11-22 18:07,80,Male,Owner,1-2yr,Automobile,Other,Other,Collision with roadside objects,2,1,Going straight,Driving to the left,Slight Injury,Yes,Yes,45.105904,-90.31379,0
10.42.0.211-123.125.29.220-47177-80-6,26,2,03-11-22 18:11,45,Male,Employee,5-10yr,Lorry (41?100Q),Office areas,Other,Collision with pedestrians,2,1,Going straight,Moving Backward,Slight Injury,Yes,Yes,44.91114869,-89.61126204,0
10.42.0.151-54.239.17.113-43021-443-6,26,2.2,03-11-22 18:12,60,Male,Other,1-3yr,Lorry (41?100Q),Residential areas,Y Shape,Vehicle with vehicle collision,3,3,Going straight,Moving Backward,Slight Injury,No,No,43.28164791,-89.72729544,1
8.0.6.4-8.6.0.1-0-0-0,25,3,03-11-22 18:13,55,Male,Employee,2-5yr,Lorry (41?100Q),Other,Y Shape,Vehicle with vehicle collision,3,3,Moving Backward,Overtaking,Slight Injury,Yes,Yes,42.95767757,-90.12662986,0
172.217.12.206-10.42.0.151-443-37371-6,25,3,03-11-22 18:23,55,Male,Employee,1-2yr,Public (13?45 seats),Residential areas,Y Shape,Vehicle with vehicle collision,3,3,Going straight,Driving carelessly,Slight Injury,No,No,43.01186569,-88.22700666,1
192.229.163.180-10.42.0.151-443-52897-6,25,2.5,03-11-22 18:27,60,Male,Employee,5-10yr,Automobile,Other,Y Shape,Vehicle with vehicle collision,3,3,Going straight,Changing lane to the left,Slight Injury,Yes,Yes,43.97986939,-90.50797267,0
172.217.10.74-10.42.0.42-443-33398-6,32,2.6,03-11-22 18:28,60,Male,Employee,2-5yr,Other,Residential areas,No junction,Vehicle with vehicle collision,2,2,Going straight,Driving under the influence of drugs,Slight Injury,No,No,43.01935044,-87.9579849,1
10.42.0.211-10.42.0.1-15949-53-17,25,2.4,03-11-22 18:34,40,Male,Employee,No Licence,Other,Office areas,No junction,Collision with roadside objects,2,2,Going straight,No distancing,Slight Injury,Yes,Yes,43.38990477,-90.19784346,0
10.42.0.151-54.225.198.145-45455-443-6,25,1.6,03-11-22 18:41,60,Male,Employee,Above 10yr,Other,Office areas,No junction,Collision with roadside objects,2,2,Moving Backward,Moving Backward,Slight Injury,No,No,42.81055,-108.704881,1
172.217.12.174-10.42.0.151-443-43079-6,30,5.3,03-11-22 18:59,35,Male,Employee,Above 10yr,Automobile,Office areas,No junction,Vehicle with vehicle collision,2,1,Going straight,Changing lane to the left,Slight Injury,No,No,40.6482344,-111.8383324,1
172.217.6.206-10.42.0.151-443-48645-6,24,4.9,03-11-22 19:23,50,Male,Employee,5-10yr,Other,  Recreational areas,No junction,Vehicle with vehicle collision,2,1,Other,Changing lane to the right,Slight Injury,Yes,Yes,40.4962936,-111.4193855,0
172.217.3.106-10.42.0.211-443-40854-6,30,6,03-11-22 19:31,55,Male,Employee,2-5yr,Lorry (41?100Q),Other,Y Shape,Vehicle with vehicle collision,3,1,Other,No distancing,Serious Injury,No,No,37.46731943,-113.2777029,1
203.205.128.137-10.42.0.42-80-42621-6,31,4.2,03-11-22 19:33,45,Male,Owner,2-5yr,Public (12 seats),Other,Y Shape,Vehicle with vehicle collision,3,1,Going straight,Driving at high speed,Serious Injury,Yes,Yes,37.13003,-113.647251,0
10.42.0.151-106.11.129.143-58363-80-6,29,5.5,03-11-22 19:36,30,Male,Employee,Below 1yr,Lorry (41?100Q),Other,Y Shape,Vehicle with vehicle collision,3,1,Going straight,Changing lane to the right,Serious Injury,Yes,Yes,41.19128218,-111.9652496,0
172.217.10.1-10.42.0.211-443-56096-6,27,1.5,05-11-22 10:53,40,Male,Owner,Above 10yr,Public (12 seats),Other,No junction,Vehicle with vehicle collision,1,1,Going straight,No priority to vehicle,Slight Injury,No,No,37.0884312,-113.5879562,1
10.42.0.211-10.42.0.1-44688-53-17,23,2.4,05-11-22 11:01,60,Male,Employee,Above 10yr,Lorry (41?100Q),Other,Other,Vehicle with vehicle collision,2,1,Going straight,No distancing,Slight Injury,No,No,42.84224,-72.574521,1
172.217.12.174-10.42.0.151-443-49780-6,30,1.2,05-11-22 11:06,35,Male,Employee,2-5yr,Other,Office areas,Other,Vehicle with vehicle collision,2,1,Other,Turnover,Slight Injury,Yes,Yes,38.8865174,-77.08603743,0
203.205.158.62-10.42.0.211-80-33401-6,26,3.6,05-11-22 11:12,30,Female,Employee,2-5yr,Lorry (41?100Q),Office areas,Y Shape,Vehicle with vehicle collision,2,1,Going straight,No distancing,Slight Injury,No,No,38.74132221,-77.20388813,1
10.42.0.211-23.23.242.24-38764-443-6,29,3.8,05-11-22 11:19,55,Male,Employee,Above 10yr,Car,Office areas,Y Shape,Vehicle with vehicle collision,2,1,Getting off,Changing lane to the right,Slight Injury,Yes,Yes,37.54592742,-77.40155702,0
203.205.191.22-10.42.0.211-80-43252-6,29,1.5,05-11-22 11:30,45,Male,Employee,5-10yr,Public (> 45 seats),Residential areas,Other,Other,2,1,Going straight,No distancing,Slight Injury,No,No,38.56623987,-78.23146915,1
10.42.0.211-10.42.0.1-4612-53-17,29,2.9,05-11-22 11:41,60,Male,Employee,Below 1yr,Lorry (41?100Q),  Recreational areas,Other,Vehicle with vehicle collision,2,1,Going straight,Changing lane to the left,Slight Injury,Yes,Yes,36.86566074,-76.29041498,0
222.73.28.96-10.42.0.42-80-34020-6,31,4.2,05-11-22 11:46,55,Male,Employee,Below 1yr,Other, Church areas,Y Shape,Collision with roadside objects,2,1,Going straight,Driving carelessly,Slight Injury,No,No,38.75952723,-77.57560245,1
10.42.0.1-10.42.0.42-53-43438-17,25,4.6,05-11-22 11:51,45,Male,Employee,Below 1yr,Other,Office areas,Y Shape,Vehicle with vehicle collision,2,1,Going straight,Changing lane to the right,Slight Injury,Yes,Yes,36.61348698,-79.40927859,0
10.42.0.211-119.146.74.34-51216-80-6,27,5.5,05-11-22 12:09,50,Male,Employee,5-10yr,Automobile,Other,Y Shape,Vehicle with vehicle collision,1,1,Going straight,No priority to vehicle,Slight Injury,Yes,Yes,38.93524711,-78.15431727,0
10.42.0.211-118.178.143.65-60936-80-6,31,6.2,05-11-22 12:21,45,Female,Owner,5-10yr,Lorry (41?100Q),Residential areas,Y Shape,Vehicle with vehicle collision,1,1,Going straight,No distancing,Slight Injury,Yes,Yes,36.71465061,-76.25567402,0
10.42.0.211-10.42.0.1-25534-53-17,32,4.4,05-11-22 12:24,40,Male,Owner,5-10yr,Pick up upto 10Q,School areas,No junction,Vehicle with vehicle collision,4,1,Moving Backward,No priority to pedestrian,Slight Injury,Yes,Yes,37.59437554,-77.5249787,0
10.42.0.211-10.42.0.1-42723-53-17,27,6.2,05-11-22 12:31,50,Male,Employee,5-10yr,Automobile,Office areas,No junction,Vehicle with vehicle collision,4,1,Going straight,No priority to pedestrian,Slight Injury,Yes,Yes,37.15324974,-76.45963582,0
10.42.0.151-124.195.3.20-39950-80-6,31.3,5,05-11-22 12:59,25,Male,Employee,2-5yr,Car,Other,No junction,Vehicle with vehicle collision,4,1,Other,No priority to vehicle,Slight Injury,No,No,36.85312939,-76.18956138,1
172.217.9.227-10.42.0.211-80-47918-6,30,5.1,05-11-22 13:00,50,Male,Employee,5-10yr,Other,Other,No junction,Collision with roadside objects,4,1,Going straight,Changing lane to the left,Slight Injury,No,No,36.97973639,-82.56956161,1
10.42.0.211-23.219.23.166-39145-80-6,31.1,4.6,05-11-22 13:12,40,Male,Employee,2-5yr,Automobile,Office areas,No junction,Collision with roadside objects,2,1,Going straight,Changing lane to the left,Slight Injury,Yes,Yes,38.76957,-77.61885268,0
180.149.136.194-10.42.0.151-80-54066-6,24.3,2,05-11-22 13:39,40,Unknown,Employee,Below 1yr,Stationwagen,Office areas,No junction,Vehicle with vehicle collision,2,1,Going straight,No distancing,Slight Injury,Yes,Yes,36.87787718,-76.28904864,0
10.42.0.211-106.11.92.16-43514-443-6,24,2.1,05-11-22 13:46,65,Male,Employee,2-5yr,Other,Other,No junction,Collision with roadside objects,1,2,Going straight,No priority to vehicle,Slight Injury,Yes,Yes,38.76520023,-77.4841397,0
172.217.10.110-10.42.0.151-443-45289-6,28.2,1.8,06-11-22 8:09,40,Male,Employee,2-5yr,Car,Office areas,No junction,Collision with roadside objects,1,2,,No distancing,Slight Injury,No,No,38.84399128,-77.2997347,1
172.217.10.2-10.42.0.151-443-59174-6,32.9,4.5,06-11-22 8:16,60,Male,Employee,2-5yr,Ridden horse, Industrial areas,Crossing,Vehicle with vehicle collision,1,1,Moving Backward,No distancing,Slight Injury,No,No,36.81870975,-76.18282955,1
198.105.244.11-10.42.0.211-80-40845-6,32,2,06-11-22 8:23,60,Male,Employee,5-10yr,Car,Office areas,No junction,Vehicle with vehicle collision,2,1,,Changing lane to the right,Slight Injury,No,No,37.37351964,-77.50736714,1
192.229.163.180-10.42.0.151-443-58364-6,24,2.8,06-11-22 8:28,40,Male,Employee,5-10yr,Other,Other,No junction,Collision with roadside objects,2,1,Going straight,Changing lane to the left,Slight Injury,No,No,47.84768614,-122.3031311,1
10.42.0.211-121.12.98.85-59747-80-6,30,1.7,06-11-22 8:31,60,Male,Employee,1-3yr,Lorry (41?100Q),Other,Y Shape,Vehicle with vehicle collision,2,1,Going straight,No distancing,Slight Injury,No,No,47.61767467,-122.1521195,1
10.42.0.42-31.13.80.5-33603-443-6,30,5.1,06-11-22 8:41,60,Male,Owner,5-10yr,Lorry (41?100Q),Office areas,Y Shape,Vehicle with vehicle collision,2,1,,Overturning,Slight Injury,Yes,Yes,48.42291386,-122.335503,0
172.217.12.131-10.42.0.151-443-51459-6,27,5.5,06-11-22 8:43,20,Male,Employee,2-5yr,Lorry (41?100Q), Church areas,Unknown,Vehicle with vehicle collision,2,1,Going straight,No priority to vehicle,Slight Injury,No,No,48.50348853,-122.6102134,1
173.194.68.188-10.42.0.151-5228-36766-6,30,9.5,06-11-22 8:53,25,Female,Employee,Below 1yr,Stationwagen,Office areas,Unknown,Vehicle with vehicle collision,2,1,Going straight,Moving Backward,Slight Injury,Yes,Yes,47.52564513,-122.6414806,0
180.149.138.197-10.42.0.211-80-50573-6,33,5.3,06-11-22 9:00,40,Male,Employee,1-2yr,Lorry (41?100Q),Residential areas,T Shape,Vehicle with vehicle collision,2,2,Going straight,Driving under the influence of drugs,Slight Injury,Yes,Yes,47.67307796,-122.2019433,0
180.149.136.194-10.42.0.211-443-54898-6,27,5.8,06-11-22 9:05,45,Male,Employee,Below 1yr,Automobile,  Recreational areas,T Shape,Vehicle with vehicle collision,2,2,Going straight,Moving Backward,Slight Injury,Yes,Yes,48.51695523,-122.6179043,0
10.42.0.151-74.119.119.68-42514-443-6,32,3.7,06-11-22 9:12,60,Male,Employee,Above 10yr,Automobile,Other,T Shape,Collision with pedestrians,2,2,Going straight,Changing lane to the right,Slight Injury,No,No,47.58886,-122.296481,1
172.217.9.238-10.42.0.151-443-33313-6,23.8,1.7,06-11-22 9:18,40,Male,Employee,Below 1yr,Pick up upto 10Q, Church areas,Other,Vehicle with vehicle collision,2,2,Going straight,Overspeed,Slight Injury,Yes,Yes,47.77242099,-122.2744024,0
10.42.0.211-23.206.166.62-53630-80-6,33,3.5,06-11-22 9:18,55,Male,Employee,2-5yr,Taxi,Other,Other,Collision with roadside objects,2,2,Going straight,Driving under the influence of drugs,Slight Injury,No,No,47.37876138,-122.0491442,1
172.217.11.2-10.42.0.151-443-38407-6,23,2.5,06-11-22 9:20,35,Male,Employee,1-2yr,Car,Other,Crossing,Vehicle with vehicle collision,3,2,Other,Driving carelessly,Slight Injury,Yes,Yes,47.7689,-122.205411,0
10.42.0.211-31.13.65.7-43201-443-6,27.7,2.8,06-11-22 9:29,45,Male,Employee,5-10yr,Automobile, Church areas,Crossing,Vehicle with vehicle collision,3,2,Going straight,No distancing,Slight Injury,No,No,45.72853359,-121.4862894,1
10.42.0.151-31.13.71.7-57925-443-6,32,4.2,06-11-22 9:31,25,Male,Owner,Below 1yr,Car,Office areas,Crossing,Vehicle with vehicle collision,3,2,Going straight,No priority to vehicle,Slight Injury,Yes,Yes,39.5031,-77.939511,0
10.42.0.42-85.93.5.109-42615-80-6,32,4.9,06-11-22 9:31,60,Male,Employee,Below 1yr,Long lorry,Office areas,Crossing,Vehicle with vehicle collision,2,1,Going straight,Overspeed,Slight Injury,No,No,43.35380949,-90.38792398,1
8.0.6.4-8.6.0.1-0-0-0,32,3.2,06-11-22 9:36,60,Male,Employee,Below 1yr,Public (12 seats), Church areas,Crossing,Vehicle with vehicle collision,2,1,Going straight,Driving under the influence of drugs,Slight Injury,No,No,30.30867616,-81.65798933,1
172.217.6.195-10.42.0.42-443-38496-6,31,1.7,06-11-22 9:39,35,Male,Employee,1-2yr,Pick up upto 10Q,Other,No junction,Vehicle with vehicle collision,2,1,Going straight,Changing lane to the right,Slight Injury,Yes,Yes,30.29507977,-81.52663056,0
198.11.132.53-10.42.0.211-443-56336-6,24,1.7,06-11-22 9:41,40,Male,Owner,5-10yr,Car,Other,No junction,Vehicle with vehicle collision,2,1,Going straight,Changing lane to the right,Slight Injury,No,No,30.28459454,-81.62142616,1
10.42.0.211-104.192.110.245-42588-80-6,24,1.8,06-11-22 9:43,55,Male,Employee,2-5yr,Other, Church areas,No junction,Vehicle with vehicle collision,1,1,Moving Backward,Changing lane to the right,Slight Injury,Yes,Yes,30.33088105,-81.58688226,0
10.42.0.211-106.11.92.6-60814-443-6,30.3,2,06-11-22 9:45,45,Male,Owner,Below 1yr,Lorry (41?100Q), Industrial areas,Y Shape,Vehicle with vehicle collision,2,1,Going straight,Changing lane to the right,Serious Injury,Yes,Yes,30.22627886,-81.61534067,0
205.204.101.47-10.42.0.42-443-39870-6,27.6,2.7,06-11-22 9:49,40,Male,Employee,5-10yr,Automobile,Office areas,Y Shape,Collision with roadside objects,2,1,Going straight,Moving Backward,Serious Injury,No,No,30.19322289,-81.6215823,1
10.42.0.151-31.13.67.36-45464-443-6,27.9,3.2,06-11-22 9:49,50,Male,Employee,5-10yr,Pick up upto 10Q,School areas,No junction,Vehicle with vehicle collision,2,1,Going straight,No distancing,Serious Injury,No,No,30.24387652,-81.6261445,1
10.42.0.211-10.42.0.1-48294-53-17,29,3,06-11-22 9:53,45,Male,Employee,5-10yr,Lorry (41?100Q),Other,No junction,Collision with roadside objects,2,1,Going straight,Overspeed,Serious Injury,Yes,Yes,28.95309084,-82.44192421,0
172.217.10.3-10.42.0.151-443-40338-6,31,2.8,06-11-22 9:59,35,Male,Employee,2-5yr,Lorry (41?100Q), Church areas,No junction,Vehicle with vehicle collision,2,1,Going straight,No distancing,Slight Injury,No,No,30.3102319,-81.79675967,1
172.217.5.228-10.42.0.42-443-58532-6,24,3.1,06-11-22 10:06,55,Male,Employee,Above 10yr,Long lorry,Office areas,No junction,Vehicle with vehicle collision,2,1,Going straight,Driving carelessly,Slight Injury,Yes,Yes,37.26194628,-113.2838769,0
172.217.10.142-10.42.0.42-443-49257-6,25,3,06-11-22 10:08,40,Female,Employee,5-10yr,Public (> 45 seats),Other,No junction,,2,1,Going straight,No distancing,Serious Injury,No,No,37.26186895,-113.2838249,1
203.205.158.60-10.42.0.211-80-52004-6,30,7.3,06-11-22 10:20,35,Male,Employee,Above 10yr,Public (> 45 seats),Other,No junction,Collision with pedestrians,2,1,Getting off,No distancing,Serious Injury,Yes,Yes,43.06597675,-72.47547631,0
172.217.11.36-10.42.0.151-443-44165-6,26,6.3,06-11-22 10:21,60,Female,Employee,2-5yr,Automobile,Other,Other,Vehicle with vehicle collision,2,1,Going straight,No distancing,Serious Injury,No,No,38.90102624,-77.42775531,1
10.42.0.211-123.125.29.220-58238-80-6,36,5.1,06-11-22 10:24,45,Male,Employee,Below 1yr,Automobile,Other,Other,Vehicle with vehicle collision,2,1,Going straight,Changing lane to the right,Serious Injury,Yes,Yes,37.05898195,-81.76557741,0
10.42.0.42-52.84.29.154-60952-443-6,23,2.1,06-11-22 10:31,25,Male,Employee,Below 1yr,Automobile, Church areas,Crossing,Vehicle with vehicle collision,2,1,Turnover,No distancing,Slight Injury,Yes,Yes,37.37542048,-77.50969088,0
219.142.78.217-10.42.0.211-80-42475-6,27.4,1.9,06-11-22 10:37,20,Male,Owner,5-10yr,Other,Residential areas,Crossing,Collision with pedestrians,2,1,Moving Backward,No priority to vehicle,Slight Injury,Yes,Yes,38.41608,-78.801661,0
172.217.12.195-10.42.0.151-443-40553-6,28,2,06-11-22 10:47,40,Male,Employee,2-5yr,Public (12 seats),Office areas,No junction,Collision with roadside objects,2,1,Going straight,Changing lane to the left,Slight Injury,Yes,Yes,38.7681,-77.705941,0
183.232.231.172-10.42.0.211-80-55040-6,28,1.5,06-11-22 10:47,40,Male,Employee,Below 1yr,Automobile,Other,No junction,,2,1,Moving Backward,Moving Backward,Slight Injury,Yes,Yes,38.73967,-77.053841,0
10.42.0.151-52.192.237.93-36491-443-6,28,1.3,06-11-22 10:56,30,Male,Employee,2-5yr,Stationwagen,Office areas,No junction,Vehicle with vehicle collision,2,1,Going straight,Driving carelessly,Slight Injury,No,No,38.94418302,-77.56267195,1
10.42.0.211-119.146.74.34-43436-80-6,28,2.3,06-11-22 11:11,40,Female,Employee,5-10yr,Automobile,Other,No junction,,2,1,,Changing lane to the left,Slight Injury,No,No,47.80174,-122.310081,1
10.42.0.151-74.119.118.71-34163-443-6,28,1.8,06-11-22 11:12,40,Male,Employee,Above 10yr,Automobile, Church areas,No junction,,1,1,Going straight,No priority to pedestrian,Slight Injury,Yes,Yes,47.57715238,-122.0379706,0
172.217.10.74-10.42.0.211-443-48545-6,28,1,06-11-22 11:12,40,Male,Employee,Above 10yr,Automobile,Office areas,Y Shape,,1,1,,No distancing,Slight Injury,Yes,Yes,48.36392588,-120.1231105,0
10.42.0.211-72.21.206.140-43242-443-6,28,1.3,06-11-22 11:16,40,Male,Employee,5-10yr,Car,Other,No junction,Vehicle with vehicle collision,1,1,Going straight,No distancing,Slight Injury,Yes,Yes,47.66487,-117.229701,0
174.35.73.97-10.42.0.211-80-54424-6,28,1.9,06-11-22 11:19,40,Male,Employee,1-2yr,Car,Other,Crossing,Vehicle with vehicle collision,2,2,,Overturning,Slight Injury,No,No,47.72113,-122.290201,1
172.217.10.78-10.42.0.211-80-45701-6,28,2.1,06-11-22 11:23,30,Male,Employee,5-10yr,Pick up upto 10Q,School areas,Crossing,Collision with roadside objects,2,2,Going straight,No distancing,Slight Injury,No,No,47.78046467,-122.2722803,1
10.42.0.211-104.97.95.172-40883-80-6,27,1.1,06-11-22 11:25,60,Male,Employee,5-10yr,Turbo, Church areas,No junction,Collision with roadside objects,2,4,Going straight,Drunk driving,Slight Injury,No,No,43.104957,-87.978639,1
